compound_id,target_id,pubmed_id,standard_value,standard_units
CHEMBL939,Q9UBF8,22037378,10000,NM
CHEMBL10,Q96PF2,21336281,1584,NM
CHEMBL10,O14976,22037378,19,NM
CHEMBL103667,Q06187,22037378,10000,NM
CHEMBL103667,P54760,22014550,900,NM
CHEMBL10,Q06187,21336281,6309,NM
CHEMBL1336,P29322,22037378,2400,NM
CHEMBL103667,P04629,21336281,2511,NM
CHEMBL103667,O14730,22037378,10000,NM
CHEMBL939,Q13163,22037378,600,NM
CHEMBL1421,O14965,22037378,9300,NM
CHEMBL10,Q16512,22037378,10000,NM
CHEMBL10,P07949,22037378,10000,NM
CHEMBL1336,P53779,21336281,3162,NM
CHEMBL1421,Q9H3Y6,22037378,13,NM
CHEMBL103667,P16591,22037378,10000,NM
CHEMBL103667,Q8N752,22037378,10000,NM
CHEMBL10,P07949,22037378,10000,NM
CHEMBL1336,P53350,22037378,10000,NM
CHEMBL1336,Q08345,22037378,1.5,NM
CHEMBL1421,O96013,22037378,10000,NM
CHEMBL939,Q13464,21336281,6309,NM
CHEMBL1421,Q9UF33,22037378,2100,NM
CHEMBL1336,Q9Y463,22037378,10000,NM
CHEMBL10,Q9Y463,21336281,2511,NM
CHEMBL1336,O95382,22037378,10000,NM
CHEMBL939,Q9UQM7,22037378,10000,NM
CHEMBL10,Q13555,21336281,6309,NM
CHEMBL103667,P54753,22037378,10000,NM
CHEMBL939,Q04771,21336281,3981,NM
CHEMBL103667,P49840,22037378,10000,NM
CHEMBL103667,Q13153,21336281,10000,NM
CHEMBL10,O00238,22037378,3300,NM
CHEMBL939,P00519,22037378,780,NM
CHEMBL10,Q8N752,22037378,1700,NM
CHEMBL1336,Q00532,22037378,10000,NM
CHEMBL939,P23443,22037378,10000,NM
CHEMBL939,Q9BRS2,22037378,10000,NM
CHEMBL103667,P22694,22037378,10000,NM
CHEMBL103667,Q13563,22014550,30000,NM
CHEMBL103667,P51956,22037378,10000,NM
CHEMBL10,P07333,22037378,10000,NM
CHEMBL1421,Q9H093,22037378,10000,NM
CHEMBL1421,P51956,22037378,10000,NM
CHEMBL939,Q8N752,22037378,10000,NM
CHEMBL1336,Q13188,22037378,10000,NM
CHEMBL939,P51957,21336281,6309,NM
CHEMBL1421,Q04771,21336281,79,NM
CHEMBL1421,Q86UX6,22037378,10000,NM
CHEMBL939,Q9NQU5,22037378,10000,NM
CHEMBL103667,P48729,22014550,30000,NM
CHEMBL1421,P04626,22037378,1400,NM
CHEMBL10,Q9HAZ1,22037378,10000,NM
CHEMBL1336,Q13164,22037378,10000,NM
CHEMBL1421,P04629,22037378,10000,NM
CHEMBL1336,P00519,22037378,5500,NM
CHEMBL939,P04049,22037378,10000,NM
CHEMBL103667,Q16620,21336281,794,NM
CHEMBL1421,P51957,21336281,6309,NM
CHEMBL939,Q8N4C8,-1,15000,NM
CHEMBL1421,P06213,22037378,10000,NM
CHEMBL939,P07949,21336281,1258,NM
CHEMBL103667,P06241,22014550,30000,NM
CHEMBL939,P42684,22037378,1600,NM
CHEMBL1421,P53778,22037378,10000,NM
CHEMBL939,P08069,21336281,1258,NM
CHEMBL1421,P51812,22037378,10000,NM
CHEMBL939,Q96NX5,22037378,10000,NM
CHEMBL10,Q86V86,21336281,7943,NM
CHEMBL1421,P36888,22037378,9900,NM
CHEMBL10,P29322,22037378,10000,NM
CHEMBL939,P54753,22037378,10000,NM
CHEMBL103667,Q06187,22014550,30000,NM
CHEMBL1421,O96013,21336281,5011,NM
CHEMBL10,Q13153,21336281,10000,NM
CHEMBL10,Q9H3Y6,21336281,1584,NM
CHEMBL1336,P15056,22037378,260,NM
CHEMBL10,P00533,22037378,1500,NM
CHEMBL103667,Q9H0K1,22037378,10000,NM
CHEMBL1336,Q7KZI7,22037378,10000,NM
CHEMBL1421,O00238,22037378,53,NM
CHEMBL1336,Q96D53,22037378,10000,NM
CHEMBL1421,P00533,22037378,79,NM
CHEMBL1336,Q9H2G2,21336281,1584,NM
CHEMBL1336,P11309,22037378,10000,NM
CHEMBL939,P41743,21336281,5011,NM
CHEMBL103667,Q9UEE5,22037378,10000,NM
CHEMBL939,P04626,19028424,2700,NM
CHEMBL939,P08631,21336281,2511,NM
CHEMBL939,Q16513,22037378,10000,NM
CHEMBL939,P57058,22037378,10000,NM
CHEMBL103667,Q02156,22037378,10000,NM
CHEMBL1336,Q86V86,22037378,10000,NM
CHEMBL1336,P07949,18849971,9,NM
CHEMBL103667,Q08345,22037378,1.9,NM
CHEMBL103667,P29376,21336281,2511,NM
CHEMBL939,Q9H3Y6,22037378,10000,NM
CHEMBL939,P42336,18849971,50000,NM
CHEMBL1421,P51955,21336281,6309,NM
CHEMBL1421,O96017,21336281,5011,NM
CHEMBL939,Q6P3R8,22037378,10000,NM
CHEMBL939,P04626,14684309,240,NM
CHEMBL103667,Q96GD4,22037378,10000,NM
CHEMBL1421,P42685,22037378,0.31,NM
CHEMBL10,P53350,21336281,7943,NM
